"Country Code","Short Name","Table Name","Long Name","2-alpha code","Currency Unit","Special Notes","Region","Income Group","WB-2 code","National accounts base year","National accounts reference year","SNA price valuation","Lending category","Other groups","System of National Accounts","Alternative conversion factor","PPP survey year","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Latest population census","Latest household survey","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data","Latest water withdrawal data",
"EGY","Egypt","Egypt, Arab Rep.","Arab Republic of Egypt","EG","Egyptian pound","Fiscal year end: June 30; reporting period for national accounts data: FY.","Middle East & North Africa","Lower middle income","EG","1991/92","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2006","Demographic and Health Survey (DHS), 2008","Expenditure survey/budget survey (ES/BS), 2011","Yes","2009/2010","2010","2012","2000",
"EMU","Euro area","Euro area","Euro area","XC","","Euro area aggregate.","","","XC","","","","","","","","","","","","","","","","","","","","","",
"ERI","Eritrea","Eritrea","State of Eritrea","ER","Eritrean nakfa","April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.","Sub-Saharan Africa","Low income","ER","2000","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Estimate","","","","1984","Demographic and Health Survey (DHS), 2002","Priority survey (PS), 1993","","","2010","2003","2004",
"ESP","Spain","Spain","Kingdom of Spain","ES","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","ES","2005","","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Integrated household survey (IHS), 2000","Yes","2010","2009","2012","2008",
"EST","Estonia","Estonia","Republic of Estonia","EE","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","EE","2005","","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","1987–95","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2012","World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2004","Yes","2010","2010","2012","2007",
"ETH","Ethiopia","Ethiopia","Federal Democratic Republic of Ethiopia","ET","Ethiopian birr","Fiscal year end: July 7; reporting period for national accounts data: FY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2011.","Sub-Saharan Africa","Low income","ET","2011","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2007","Demographic and Health Survey (DHS), 2011","Expenditure survey/budget survey (ES/BS), 2010/11","","","2009","2012","2002",
"EUU","European Union","European Union","European Union","EU","","European Union aggregate.","","","EU","","","","","","","","","","","","","","","","","","","","","",
"FIN","Finland","Finland","Republic of Finland","FI","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","FI","2005","","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","","Income survey (IS), 2000","Yes","2010","2009","2012","2005",
"FJI","Fiji","Fiji","Republic of Fiji","FJ","Fijian dollar","Based on data from the Bureau of Statistics, national accounts data on the expenditure side have been revised from 2005 onward; the new base year is 2005.","East Asia & Pacific","Upper middle income","FJ","2005","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2007","","Expenditure survey/budget survey (ES/BS), 2009","Yes","2009","2009","2012","2000",
"FRA","France","France","French Republic","FR","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","FR","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2006. Rolling census based on continuous sample survey.","","Expenditure survey/budget survey (ES/BS), 1994/95","Yes","2010","2009","2012","2007",
"FRO","Faeroe Islands","Faeroe Islands","Faeroe Islands","FO","Danish krone","","Europe & Central Asia","High income: nonOECD","FO","","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","","General trade system","","","2011","","","Yes","","","2009","",
"FSM","Micronesia","Micronesia, Fed. Sts.","Federated States of Micronesia","FM","U.S. dollar","Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward. 2013 estimates are based on the IMF Small States Monitor, Issue 1.2014. In 2010, the government statistical office revised national accounts data for 1995-2008.","East Asia & Pacific","Lower middle income","FM","2004","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","","","","","","","2010","","Integrated household survey (IHS), 2000","","","","","",
"GAB","Gabon","Gabon","Gabonese Republic","GA","CFA franc","","Sub-Saharan Africa","Upper middle income","GA","1991","","Value added at producer prices (VAP)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1993","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","","General Data Dissemination System (GDDS)","2013","Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ)/Integrated household survey (IHS), 2005","","","","2009","2005",
"GBR","United Kingdom","United Kingdom","United Kingdom of Great Britain and Northern Ireland","GB","Pound sterling","","Europe & Central Asia","High income: OECD","GB","2005","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Income survey (IS), 1999","Yes","2010","2009","2012","2007",
"GEO","Georgia","Georgia","Georgia","GE","Georgian lari","","Europe & Central Asia","Lower middle income","GE","Original chained constant price data are rescaled.","1996","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1990–95","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2002","Multiple Indicator Cluster Survey (MICS), 2005; Reproductive Health Survey (RHS), 2005","Integrated household survey (IHS), 2011","Yes","","2010","2012","2005",
"GHA","Ghana","Ghana","Republic of Ghana","GH","New Ghanaian cedi","In 2010, the Ghana Statistical Service revised the base year for Ghana's national accounts series from 1993 to 2006. The new GDP data were about 60 percent higher than previously reported and incorporated improved data sources and methodology.","Sub-Saharan Africa","Lower middle income","GH","2006","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","1973–87","2005","IMF Balance of Payments Manual, 6th edition.","Preliminary","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2010","Multiple Indicator Cluster Survey (MICS), 2011","Living Standards Measurement Study Survey (LSMS), 2005/06","","2013/ 2014","2003","2012","2000",
"GIB","Gibraltar","Gibraltar","Gibraltar","GI","Gibraltar pound","","","","GI","","","","","","Country uses the 1968 System of National Accounts methodology.","","","","","","","","2012","","","","","","","",
"GIN","Guinea","Guinea","Republic of Guinea","GN","Guinean franc","","Sub-Saharan Africa","Low income","GN","2003","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Estimate","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","1996","Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ), 2012","","","","2008","2001",
"GMB","The Gambia","Gambia, The","Republic of The Gambia","GM","Gambian dalasi","Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 2004 onward; the base year changed to 2004.","Sub-Saharan Africa","Low income","GM","2004","","Value added at producer prices (VAP)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2013","Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2010","","","2004","2011","2000",
"GNB","Guinea-Bissau","Guinea-Bissau","Republic of Guinea-Bissau","GW","CFA franc","In 2010, national accounts data for 2003-09 were revised. The new data had broader coverage of all sectors of the economy, and GDP in current prices averaged 89 percent higher than previous estimates.","Sub-Saharan Africa","Low income","GW","2005","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Estimate","General trade system","","General Data Dissemination System (GDDS)","2009","Multiple Indicator Cluster Survey (MICS), 2010","Core Welfare Indicator Questionnaire Survey (CWIQ), 2010","","","","2005","2000",
"GNQ","Equatorial Guinea","Equatorial Guinea","Republic of Equatorial Guinea","GQ","CFA franc","National accounts have been revised from 1980 onward based on official government data; the new base year is 2006.","Sub-Saharan Africa","High income: nonOECD","GQ","2006","","Value added at basic prices (VAB)","IBRD","","Country uses the 1968 System of National Accounts methodology.","1965–84","2005","","","General trade system","Budgetary central government","","2002","Demographic and Health Survey (DHS), 2011","Priority survey (PS), 2006","","","","","2000",
"GRC","Greece","Greece","Hellenic Republic","GR","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","GR","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Integrated household survey (IHS), 2000","Yes","2009","2007","2012","2007",
"GRD","Grenada","Grenada","Grenada","GD","East Caribbean dollar","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.","Latin America & Caribbean","Upper middle income","GD","2006","","Value added at basic prices (VAB)","Blend","","Country uses the 1968 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2011","Reproductive Health Survey (RHS), 1985","","Yes","2012","","2009","2005",
"GRL","Greenland","Greenland","Greenland","GL","Danish krone","","Europe & Central Asia","High income: nonOECD","GL","1990","","","","","Country uses the 1993 System of National Accounts methodology.","","","","","General trade system","","","2010","","","Yes","","","2012","",
"GTM","Guatemala","Guatemala","Republic of Guatemala","GT","Guatemalan quetzal","","Latin America & Caribbean","Lower middle income","GT","2001","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Estimate","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2002","Reproductive Health Survey (RHS), 2008/09","Living Standards Measurement Study Survey (LSMS), 2011","Yes","2013","","2012","2006",
"GUM","Guam","Guam","Guam","GU","U.S. dollar","","East Asia & Pacific","High income: nonOECD","GU","","","","","","Country uses the 1993 System of National Accounts methodology.","","","","","General trade system","","","2010","","","Yes","2007","","","",
"GUY","Guyana","Guyana","Co-operative Republic of Guyana","GY","Guyana dollar","In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates.","Latin America & Caribbean","Lower middle income","GY","2006","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","","General Data Dissemination System (GDDS)","2012","Demographic and Health Survey (DHS), 2009","Integrated household survey (IHS), 1998","","","","2012","2000",
"HIC","High income","High income","High income","XD","","High income group aggregate. High-income economies are those in which 2013 GNI per capita was $12,746 or more.","","","XD","","","","","","","","","","","","","","","","","","","","","",
"HKG","Hong Kong SAR, China","Hong Kong SAR, China","Hong Kong Special Administrative Region of the People's Republic of China","HK","Hong Kong dollar","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.","East Asia & Pacific","High income: nonOECD","HK","Original chained constant price data are rescaled.","2012","Value added at basic prices (VAB)","","","Country uses the 2008 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011. The population censuses for 1986 and 1996 were based on a one-in-seven sample of the population, while that for 2006 was based on a one-in-ten sample of the population.","","","Yes","","2010","2012","",
"HND","Honduras","Honduras","Republic of Honduras","HN","Honduran lempira","","Latin America & Caribbean","Lower middle income","HN","2000","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","1988–89","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","2013","Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2010","","2013","","2012","2006",
"HPC","Heavily indebted poor countries (HIPC)","Heavily indebted poor countries (HIPC)","Heavily indebted poor countries (HIPC)","XE","","Heavily indebted poor countries aggregate.","","","XE","","","","","","","","","","","","","","","","","","","","","",
"HRV","Croatia","Croatia","Republic of Croatia","HR","Croatian kuna","April 2013 database update: Based on official government statistics, the base year for constant price series changed to 2005.","Europe & Central Asia","High income: nonOECD","HR","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2008","Yes","2010","","2012","2010",
"HTI","Haiti","Haiti","Republic of Haiti","HT","Haitian gourde","Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.","Latin America & Caribbean","Low income","HT","1986/87","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","1991","","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","General Data Dissemination System (GDDS)","2003","HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013","Integrated household survey (IHS), 2001","","2008/ 2009","","1997","2000",
"HUN","Hungary","Hungary","Hungary","HU","Hungarian forint","April 2012 database update: Based on data from the Organisation for Economic Co-operation and Development, national accounts data were revised for 1991 onward.","Europe & Central Asia","Upper middle income","HU","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2007","Yes","2010","2009","2012","2007",
"IDN","Indonesia","Indonesia","Republic of Indonesia","ID","Indonesian rupiah","Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.","East Asia & Pacific","Lower middle income","ID","2000","","Value added at producer prices (VAP)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2010","Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2013","","2013","2009","2012","2000",
"IMN","Isle of Man","Isle of Man","Isle of Man","IM","Pound sterling","","Europe & Central Asia","High income: nonOECD","IM","2003","","","","","Country uses the 1968 System of National Accounts methodology.","","","","","","","","2011","","","Yes","","","","",
"IND","India","India","Republic of India","IN","Indian rupee","Fiscal year end: March 31; reporting period for national accounts data: FY. April 2013 database update: The India Central Statistical Office revised historical data series both current and constant going back to 1960 with 2004–05 as the base.","South Asia","Lower middle income","IN","2004/05","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Demographic and Health Survey (DHS), 2005/06","Integrated household survey (IHS), 2012","","2011","2009","2012","2010",
"IRL","Ireland","Ireland","Ireland","IE","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","IE","2005","","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Integrated household survey (IHS), 2000","Yes","2010","2009","2012","1979",
"IRN","Iran","Iran, Islamic Rep.","Islamic Republic of Iran","IR","Iranian rial","Fiscal year end: March 20; reporting period for national accounts data: FY.","Middle East & North Africa","Upper middle income","IR","1997/98","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1980–2002","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","2011","Demographic and Health Survey (DHS), 2000","Expenditure survey/budget survey (ES/BS), 2005","Yes","2013","2009","2011","2004",
"IRQ","Iraq","Iraq","Republic of Iraq","IQ","Iraqi dinar","National accounts have been revised from 2000 onward based on official government data; the new base year is 1988. The new series raises GDP significantly from previous estimates.","Middle East & North Africa","Upper middle income","IQ","1988","","Value added at producer prices (VAP)","IBRD","","Country uses the 1968 System of National Accounts methodology.","1997, 2004","2005","IMF Balance of Payments Manual, 6th edition.","","","","General Data Dissemination System (GDDS)","1997","Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2007","","2011/2012","","","2000",
"ISL","Iceland","Iceland","Republic of Iceland","IS","Iceland krona","","Europe & Central Asia","High income: OECD","IS","2005","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","","Yes","2010","2005","2012","2005",
"ISR","Israel","Israel","State of Israel","IL","Israeli new shekel","","Middle East & North Africa","High income: OECD","IL","2005","","Value added at producer prices (VAP)","","","Country uses the 1993 System of National Accounts methodology.","","2011","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2009","","Expenditure survey/budget survey (ES/BS), 2001","Yes","","2009","2012","2004",
"ITA","Italy","Italy","Italian Republic","IT","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","IT","2005","","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2012","","Expenditure survey/budget survey (ES/BS), 2000","Yes","2010","2009","2012","2000",
"JAM","Jamaica","Jamaica","Jamaica","JM","Jamaican dollar","April 2013 database update: Based on official government statistics, national accounts data were revised for 2002 onward; the base year changed to 2007.","Latin America & Caribbean","Upper middle income","JM","2007","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2011","Multiple Indicator Cluster Survey (MICS), 2011","Living Standards Measurement Study Survey (LSMS), 2010","","2007","","2012","1993",
"JOR","Jordan","Jordan","Hashemite Kingdom of Jordan","JO","Jordanian dinar","","Middle East & North Africa","Upper middle income","JO","1994","","Value added at basic prices (VAB)","IBRD","","Country uses the 1968 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","Special Data Dissemination Standard (SDDS)","2004","Demographic and Health Survey (DHS), 2012","Expenditure survey/budget survey (ES/BS), 2010","","2007","2010","2012","2005",
"JPN","Japan","Japan","Japan","JP","Japanese yen","Fiscal year end: March 31; reporting period for national accounts data: CY.","East Asia & Pacific","High income: OECD","JP","2005","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","","Income survey (IS), 1993","Yes","2010","2010","2012","2001",
"KAZ","Kazakhstan","Kazakhstan","Republic of Kazakhstan","KZ","Kazakh tenge","","Europe & Central Asia","Upper middle income","KZ","Original chained constant price data are rescaled.","2000","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1987–95","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2009","Multiple Indicator Cluster Survey (MICS), 2010/11","Expenditure survey/budget survey (ES/BS), 2012","Yes","","","2012","2010",
"KEN","Kenya","Kenya","Republic of Kenya","KE","Kenyan shilling","Fiscal year end: June 30; reporting period for national accounts data: CY.","Sub-Saharan Africa","Low income","KE","2001","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2009","Malaria Indicator Survey (MIS), 2010; HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2010","Integrated household survey (IHS), 2005/06","","2009. Population and Housing Census.","2010","2010","2003",
"KGZ","Kyrgyz Republic","Kyrgyz Republic","Kyrgyz Republic","KG","Kyrgyz som","","Europe & Central Asia","Lower middle income","KG","Original chained constant price data are rescaled.","1995","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","1990–95","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2009","Demographic and Health Survey (DHS), 2012","Expenditure survey/budget survey (ES/BS), 2012","Yes","2014","2010","2012","2006",
"KHM","Cambodia","Cambodia","Kingdom of Cambodia","KH","Cambodian riel","","East Asia & Pacific","Low income","KH","2000","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2008","Demographic and Health Survey (DHS), 2010","Integrated household survey (IHS), 2011","","2013","2000","2012","2006",
"KIR","Kiribati","Kiribati","Republic of Kiribati","KI","Australian dollar","Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank.","East Asia & Pacific","Lower middle income","KI","2006","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2010","","","","","","2012","",
"KNA","St. Kitts and Nevis","St. Kitts and Nevis","St. Kitts and Nevis","KN","East Caribbean dollar","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.","Latin America & Caribbean","High income: nonOECD","KN","2006","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2011","","","Yes","","","2011","",
"KOR","Korea","Korea, Rep.","Republic of Korea","KR","Korean won","New base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.","East Asia & Pacific","High income: OECD","KR","2010","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","","Expenditure survey/budget survey (ES/BS), 1998","Yes","2010","2008","2012","2002",
"KWT","Kuwait","Kuwait","State of Kuwait","KW","Kuwaiti dinar","Fiscal year end: June 30; reporting period for national accounts data: CY.","Middle East & North Africa","High income: nonOECD","KW","1995","","Value added at producer prices (VAP)","","","Country uses the 1968 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2011","Family Health Survey (FHS), 1996","","Yes","","2010","2009","2002",
"LAC","Latin America & Caribbean (developing only)","Latin America & Caribbean","Latin America & Caribbean (developing only)","XJ","","Latin America and Caribbean regional aggregate (does not include high-income economies).","","","XJ","","","","","","","","","","","","","","","","","","","","","",
"LAO","Lao PDR","Lao PDR","Lao People's Democratic Republic","LA","Lao kip","","East Asia & Pacific","Lower middle income","LA","2002","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Preliminary","Special trade system","Budgetary central government","","2005","Multiple Indicator Cluster Survey (MICS), 2011/12","Expenditure survey/budget survey (ES/BS), 2008","","2010/11","","","2005",
"LBN","Lebanon","Lebanon","Lebanese Republic","LB","Lebanese pound","","Middle East & North Africa","Upper middle income","LB","1997","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","1970","Multiple Indicator Cluster Survey (MICS), 2000","","Yes","2011","2007","2012","2005",
"LBR","Liberia","Liberia","Republic of Liberia","LR","Liberian dollar","April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.","Sub-Saharan Africa","Low income","LR","2000","","Value added at producer prices (VAP)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2008","Demographic and Health Survey (DHS), 2013","Core Welfare Indicator Questionnaire Survey (CWIQ), 2007","","2008. Population and Housing Census.","","","2000",
"LBY","Libya","Libya","Socialist People's Libyan Arab Jamahiriya","LY","Libyan dinar","National accounts data are revised from 2010 to 2013 based on IMF and World Bank staff estimates.","Middle East & North Africa","Upper middle income","LY","1999","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1986","","IMF Balance of Payments Manual, 6th edition.","","General trade system","","General Data Dissemination System (GDDS)","2006","","","","2013/2014","","2010","2000",
