"CountryCode","SeriesCode","DESCRIPTION",
"MUS","SP.POP.0014.TO","Derived using ratio of age group from WPP and World Bank population.",
"MUS","SP.POP.0014.TO.ZS","Including Agalega and St. Brandon.",
"MUS","SP.POP.GROW","Data sources: Central Statistics Office, United Nations Population and Vital Statistics Report, United Nations World Population Prospects",
"MUS","SP.POP.0014.MA.IN","Derived using ratio of age group from WPP and World Bank population.",
"MUS","SP.POP.0014.FE.IN","Derived using ratio of age group from WPP and World Bank population.",
"MUS","SP.POP.TOTL.FE.ZS","Excluding Agalega and St. Brandon.",
"MUS","SP.POP.TOTL.MA.ZS","Excluding Agalega and St. Brandon.",
"MWI","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MWI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MYS","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MYS","SP.POP.1564.TO.ZS","Including Sabah and Sarawak.",
"MYS","SP.POP.0014.TO.ZS","Including Sabah and Sarawak.",
"MYS","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MYS","SP.POP.TOTL.MA.ZS","Including Sabah and Sarawak.",
"MYS","SP.POP.TOTL.FE.ZS","Including Sabah and Sarawak.",
"NAM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"NAM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"NCL","SP.POP.TOTL","Data sources : Institute of Statistics and Economic Studies",
"NCL","SP.POP.GROW","Data sources: Institute of Statistics and Economic Studies, 1983 Census, 1989 Census, 1996 Census",
"NER","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"NER","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"NGA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"NGA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"NIC","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"NIC","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"NLD","SP.POP.TOTL","Data sources : Eurostat",
"NLD","SP.POP.GROW","Data sources : Eurostat",
"NOR","SP.POP.GROW","Data sources : Eurostat",
"NOR","SP.POP.TOTL","Data sources : Eurostat",
"NPL","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"NPL","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"NZL","SP.POP.GROW","Data sources: Statistics New Zealand",
"NZL","SP.POP.TOTL","Data sources : Statistics New Zealand",
"OMN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"OMN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"PAK","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"PAK","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PAN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PAN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"PER","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"PER","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PHL","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PHL","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"PLW","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"PLW","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PNG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PNG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"POL","SP.POP.GROW","Data sources : Eurostat",
"POL","SP.POP.TOTL","Data sources : Eurostat",
"PRI","SP.POP.TOTL","Data sources : U.S. Census Bureau, 1990 Census",
"PRI","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"PRI","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"PRI","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"PRI","SP.POP.GROW","Data sources: U.S. Census Bureau, 1990 Census",
"PRI","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"PRI","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"PRI","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"PRK","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"PRK","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PRT","SP.POP.TOTL","Data sources : Eurostat",
"PRT","SP.POP.GROW","Data sources : Eurostat",
"PRY","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"PRY","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PSE","SP.POP.TOTL","Data sources : World Bank estimates based on data from Palestinian Central Bureau of Statistics, excluding E. Jerusalem.",
"PSE","SP.POP.1564.TO.ZS","Excluding East Jerusalem.",
"PSE","SP.POP.0014.TO.ZS","Excluding East Jerusalem.",
"PSE","SP.POP.GROW","Data sources: World Bank estimates based on data from Palestinian Central Bureau of Statistics, excluding E. Jerusalem.",
"PSE","SP.POP.TOTL.FE.ZS","Excluding East Jerusalem.",
"PSE","SP.POP.TOTL.MA.ZS","Excluding East Jerusalem.",
"PYF","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"PYF","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"QAT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"QAT","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ROU","SP.POP.GROW","Data sources : Eurostat",
"ROU","SP.POP.TOTL","Data sources : Eurostat",
"RUS","SP.POP.TOTL","Data sources : Russian Federation Federal State Statistics Service (its January 1st populations were adjusted to mid-year populations by using geometric mean), 1979 Census, 1989 Census.",
"RUS","SP.POP.GROW","Data sources : Russian Federation Federal State Statistics Service (its January 1st populations were adjusted to mid-year populations by using geometric mean), 1979 Census, 1989 Census.",
"RWA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"RWA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SAU","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SAU","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"SDN","SP.POP.GROW","Data sources : United Nations World Population Prospects. Estimates are for Sudan excluding South Sudan.",
"SDN","SP.POP.TOTL","Data sources : United Nations World Population Prospects. Estimates are for Sudan excluding South Sudan.",
"SEN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SEN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"SGP","SP.POP.GROW","Data sources: Department of Statistics Singapore",
"SGP","SP.POP.TOTL","Data sources : Department of Statistics Singapore",
"SLB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SLB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"SLE","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"SLE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SLV","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SLV","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"SMR","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"SMR","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"SMR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SMR","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"SMR","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"SMR","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"SMR","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"SMR","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"SOM","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"SOM","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"SOM","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"SOM","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"SOM","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"SOM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SOM","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"SOM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"SRB","SP.POP.GROW","Data sources: Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Excluding Kosovo for all years 1950-2011",
"SRB","SP.POP.0014.TO","Derived using ratio of age group from WPP and World Bank population.",
"SRB","SP.POP.1564.MA.IN","Derived using ratio of age group from WPP and World Bank population.",
"SRB","SP.POP.0014.TO.ZS","Including Kosovo.",
"SRB","SP.POP.TOTL","Data sources : Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Note : Excluding Kosovo.",
"SRB","SP.POP.1564.FE.IN","Derived using ratio of age group from WPP and World Bank population.",
"SRB","SP.POP.1564.TO.ZS","Including Kosovo.",
"SRB","SP.POP.1564.TO","Derived using ratio of age group from WPP and World Bank population.",
"SRB","SP.POP.0014.MA.IN","Derived using ratio of age group from WPP and World Bank population.",
"SRB","SP.POP.0014.FE.IN","Derived using ratio of age group from WPP and World Bank population.",
"SRB","SP.POP.TOTL.FE.ZS","Excluding Kosovo.",
"SRB","SP.POP.TOTL.MA.ZS","Excluding Kosovo.",
"STP","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"STP","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"SUR","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"SUR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SVK","SP.POP.TOTL","Data sources : Eurostat",
"SVK","SP.POP.GROW","Data sources : Eurostat",
"SVN","SP.POP.GROW","Data sources : Eurostat",
"SVN","SP.POP.TOTL","Data sources : Eurostat",
"SWE","SP.POP.TOTL","Data sources : Eurostat",
"SWE","SP.POP.GROW","Data sources : Eurostat",
"SWZ","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"SWZ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SYC","SP.POP.TOTL","Data sources : National Bureau of Statistics",
"SYC","SP.POP.GROW","Data sources: National Bureau of Statistics",
"SYR","SP.POP.GROW","Data sources : United Nations World Population Prospects",
"SYR","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"SYR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SYR","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"SYR","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"SYR","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"SYR","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"SYR","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"TCA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TCA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"TCD","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"TCD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TGO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TGO","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"THA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"THA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TJK","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TJK","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"TKM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"TKM","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"TKM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TKM","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"TKM","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"TKM","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"TKM","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"TKM","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"TLS","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"TLS","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"TLS","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"TLS","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"TLS","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"TLS","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TLS","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"TLS","SP.POP.GROW","Data sources : United Nations World Population Prospects",
"TON","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"TON","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TTO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TTO","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"TUN","SP.POP.GROW","Data sources : United Nations World Population Prospects",
"TUN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TUR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TUR","SP.POP.GROW","Data sources : United Nations World Population Prospects",
"TUV","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"TUV","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TZA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TZA","NY.GDP.PCAP.CD","Covers mainland Tanzania only.",
"TZA","SP.POP.1564.TO.ZS","Including Zanzibar.",
"TZA","NY.GDP.PCAP.KD","Covers mainland Tanzania only.",
"TZA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"TZA","NY.GDP.PCAP.PP.CD","Covers mainland Tanzania only.",
"TZA","SP.POP.0014.TO.ZS","Including Zanzibar.",
"TZA","NY.GDP.PCAP.PP.KD","Covers mainland Tanzania only.",
"TZA","NY.GNP.PCAP.PP.CD","Covers mainland Tanzania only.",
"TZA","NY.GNP.PCAP.CD","Covers mainland Tanzania only.",
"TZA","SP.POP.TOTL.MA.ZS","Including Zanzibar.",
"TZA","SP.POP.TOTL.FE.ZS","Including Zanzibar.",
"UGA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"UGA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"UKR","SP.POP.TOTL","Data sources : State Statistics Committee of Ukraine, United Nations World Population Prospects, Council of Europe, United Nations Population and Vital Statistics Report",
"UKR","SP.POP.GROW","Data sources: State Statistics Committee of Ukraine, United Nations World Population Prospects, Council of Europe, United Nations Population and Vital Statistics Report",
"URY","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"URY","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"USA","SP.POP.TOTL","Data sources : U.S. Census Bureau",
"USA","SP.POP.GROW","Data sources: U.S. Census Bureau",
"UZB","SP.POP.GROW","Data sources : State Committee of the Republic of Uzbekistan on Statistics, United Nations World Population Prospects",
"UZB","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"UZB","SP.POP.TOTL","Data sources : State Committee of the Republic of Uzbekistan on Statistics, United Nations World Population Prospects",
"UZB","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"UZB","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"UZB","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"UZB","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"UZB","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"VCT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"VCT","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"VEN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"VEN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"VEN","NY.GNP.PCAP.CD","Based on official exchange rates.",
"VIR","SP.POP.TOTL","Data sources : U.S. Census Bureau, United Nations Population and Vital Statistics Report",
"VIR","SP.POP.GROW","Data sources: U.S. Census Bureau, United Nations Population and Vital Statistics Report",
"VNM","SP.POP.GROW","Data sources: General Statistics Office of Vietnam",
"VNM","SP.POP.TOTL","Data sources : General Statistics Office of Vietnam",
"VUT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"VUT","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"WSM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"WSM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"XKX","SP.POP.TOTL","Data sources : World Bank's Kosovo coutnry office, Kosovo Agency of Statistics, U.S. Census Bureau",
"XKX","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"XKX","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"XKX","SP.POP.GROW","Data sources: World Bank's Kosovo coutnry office, Kosovo Agency of Statistics, U.S. Census Bureau",
"XKX","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"XKX","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"XKX","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"XKX","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"YEM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"YEM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ZAF","SP.POP.TOTL","Data sources : Statistics South Africa, United Nations World Population Prospects",
"ZAF","SP.POP.GROW","Data sources : Statistics South Africa, United Nations World Population Prospects",
"ZMB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ZMB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ZWE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ZWE","SP.POP.GROW","Data sources: United Nations World Population Prospects",
