"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"BAR.TER.SCHL.6064.FE","Attainment","Barro-Lee: Average years of tertiary schooling, age 60-64, female","Average years of tertiary schooling, 60-64, female is the average years of tertiary education completed among females age 60-64.","Average years of tertiary schooling, 60-64, female is the average years of tertiary education completed among females age 60-64.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.TER.SCHL.6569","Attainment","Barro-Lee: Average years of tertiary schooling, age 65-69, total","Average years of tertiary schooling, 65-69, total is the average years of tertiary education completed among people age 65-69.","Average years of tertiary schooling, 65-69, total is the average years of tertiary education completed among people age 65-69.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.TER.SCHL.6569.FE","Attainment","Barro-Lee: Average years of tertiary schooling, age 65-69, female","Average years of tertiary schooling, 65-69, female is the average years of tertiary education completed among females age 65-69.","Average years of tertiary schooling, 65-69, female is the average years of tertiary education completed among females age 65-69.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.TER.SCHL.7074","Attainment","Barro-Lee: Average years of tertiary schooling, age 70-74, total","Average years of tertiary schooling, 70-74, total is the average years of tertiary education completed among people age 70-74.","Average years of tertiary schooling, 70-74, total is the average years of tertiary education completed among people age 70-74.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.TER.SCHL.7074.FE","Attainment","Barro-Lee: Average years of tertiary schooling, age 70-74, female","Average years of tertiary schooling, 70-74, female is the average years of tertiary education completed among females age 70-74.","Average years of tertiary schooling, 70-74, female is the average years of tertiary education completed among females age 70-74.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.TER.SCHL.75UP","Attainment","Barro-Lee: Average years of tertiary schooling, age 75+, total","Average years of tertiary schooling, 75+, total is the average years of tertiary education completed among people over age 75.","Average years of tertiary schooling, 75+, total is the average years of tertiary education completed among people over age 75.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.TER.SCHL.75UP.FE","Attainment","Barro-Lee: Average years of tertiary schooling, age 75+, female","Average years of tertiary schooling, 75+, female is the average years of tertiary education completed among females over age 75.","Average years of tertiary schooling, 75+, female is the average years of tertiary education completed among females over age 75.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"HH.DHS.GAR.456","Education Equality","DHS: Gross attendance rate. Post Secondary","Gross attendance rate. Post Secondary is the number of post-secondary school pupils of any age, expressed as a percentage of youth of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system.","Gross attendance rate. Post Secondary is the number of post-secondary school pupils of any age, expressed as a percentage of youth of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.GAR.456.F","Education Equality","DHS: Gross attendance rate. Post Secondary. Female","Gross attendance rate. Post Secondary. Female is the number of female post-secondary school pupils of any age, expressed as a percentage of the population of females of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system.","Gross attendance rate. Post Secondary. Female is the number of female post-secondary school pupils of any age, expressed as a percentage of the population of females of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.GAR.456.M","Education Equality","DHS: Gross attendance rate. Post Secondary. Male","Gross attendance rate. Post Secondary. Male is the number of male post-secondary school pupils of any age, expressed as a percentage of the population of males of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system.","Gross attendance rate. Post Secondary. Male is the number of male post-secondary school pupils of any age, expressed as a percentage of the population of males of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.GAR.456.Q1","Education Equality","DHS: Gross attendance rate. Post Secondary. Quintile 1","Gross attendance rate. Post Secondary. Quintile 1 is the number of quintile 1 post-secondary school pupils of any age, expressed as a percentage of the quintile 1 population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Gross attendance rate. Post Secondary. Quintile 1 is the number of quintile 1 post-secondary school pupils of any age, expressed as a percentage of the quintile 1 population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.GAR.456.Q2","Education Equality","DHS: Gross attendance rate. Post Secondary. Quintile 2","Gross attendance rate. Post Secondary. Quintile 2 is the number of quintile 2 post-secondary school pupils of any age, expressed as a percentage of the quintile 2 population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Gross attendance rate. Post Secondary. Quintile 2 is the number of quintile 2 post-secondary school pupils of any age, expressed as a percentage of the quintile 2 population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.GAR.456.Q3","Education Equality","DHS: Gross attendance rate. Post Secondary. Quintile 3","Gross attendance rate. Post Secondary. Quintile 3 is the number of quintile 3 post-secondary school pupils of any age, expressed as a percentage of the quintile 3 population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Gross attendance rate. Post Secondary. Quintile 3 is the number of quintile 3 post-secondary school pupils of any age, expressed as a percentage of the quintile 3 population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.GAR.456.Q4","Education Equality","DHS: Gross attendance rate. Post Secondary. Quintile 4","Gross attendance rate. Post Secondary. Quintile 4 is the number of quintile 4 post-secondary school pupils of any age, expressed as a percentage of the quintile 4 population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Gross attendance rate. Post Secondary. Quintile 4 is the number of quintile 4 post-secondary school pupils of any age, expressed as a percentage of the quintile 4 population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.GAR.456.Q5","Education Equality","DHS: Gross attendance rate. Post Secondary. Quintile 5","Gross attendance rate. Post Secondary. Quintile 5 is the number of quintile 5 post-secondary school pupils of any age, expressed as a percentage of the quintile 5 population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Gross attendance rate. Post Secondary. Quintile 5 is the number of quintile 5 post-secondary school pupils of any age, expressed as a percentage of the quintile 5 population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.GAR.456.R","Education Equality","DHS: Gross attendance rate. Post Secondary. Rural","Gross attendance rate. Post Secondary. Rural is the number of rural post-secondary school pupils of any age, expressed as a percentage of the rural population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system.","Gross attendance rate. Post Secondary. Rural is the number of rural post-secondary school pupils of any age, expressed as a percentage of the rural population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.GAR.456.U","Education Equality","DHS: Gross attendance rate. Post Secondary. Urban","Gross attendance rate. Post Secondary. Urban is the number of urban post-secondary school pupils of any age, expressed as a percentage of the urban population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system.","Gross attendance rate. Post Secondary. Urban is the number of urban post-secondary school pupils of any age, expressed as a percentage of the urban population of post-secondary school age. Post-secondary school age is defined as the age range from graduation from secondary school till the maximum age set as a parameter of the educational system.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.1","Education Equality","DHS: Net attendance rate. Primary","Net attendance rate. Primary. Total is the proportion of children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school.","Net attendance rate. Primary. Total is the proportion of children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.1.F","Education Equality","DHS: Net attendance rate. Primary. Female","Net attendance rate. Primary. Female is the proportion of female children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school.","Net attendance rate. Primary. Female is the proportion of female children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.1.M","Education Equality","DHS: Net attendance rate. Primary. Male","Net attendance rate. Primary. Male is the proportion of male children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school.","Net attendance rate. Primary. Male is the proportion of male children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.1.Q1","Education Equality","DHS: Net attendance rate. Primary. Quintile 1","Net attendance rate. Primary. Quintile 1 is the proportion of quintile 1 children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net attendance rate. Primary. Quintile 1 is the proportion of quintile 1 children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.1.Q2","Education Equality","DHS: Net attendance rate. Primary. Quintile 2","Net attendance rate. Primary. Quintile 2 is the proportion of quintile 2 children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net attendance rate. Primary. Quintile 2 is the proportion of quintile 2 children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.1.Q3","Education Equality","DHS: Net attendance rate. Primary. Quintile 3","Net attendance rate. Primary. Quintile 3 is the proportion of quintile 3 children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net attendance rate. Primary. Quintile 3 is the proportion of quintile 3 children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.1.Q4","Education Equality","DHS: Net attendance rate. Primary. Quintile 4","Net attendance rate. Primary. Quintile 4 is the proportion of quintile 4 children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net attendance rate. Primary. Quintile 4 is the proportion of quintile 4 children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.1.Q5","Education Equality","DHS: Net attendance rate. Primary. Quintile 5","Net attendance rate. Primary. Quintile 5 is the proportion of quintile 5 children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net attendance rate. Primary. Quintile 5 is the proportion of quintile 5 children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.1.R","Education Equality","DHS: Net attendance rate. Primary. Rural","Net attendance rate. Primary. Rural is the proportion of rural children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school.","Net attendance rate. Primary. Rural is the proportion of rural children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.1.U","Education Equality","DHS: Net attendance rate. Primary. Urban","Net attendance rate. Primary. Urban is the proportion of urban children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school.","Net attendance rate. Primary. Urban is the proportion of urban children of the official primary school age who are attending primary school. The primary school age is based on the parameters of the educational system: starting age and duration of primary school.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.23","Education Equality","DHS: Net attendance rate. Secondary","Net attendance rate. Secondary is the proportion of children of official secondary school age who are attending secondary school.","Net attendance rate. Secondary is the proportion of children of official secondary school age who are attending secondary school.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.23.F","Education Equality","DHS: Net attendance rate. Secondary. Female","Net attendance rate. Secondary. Female is the proportion of female children of official secondary school age who are attending secondary school.","Net attendance rate. Secondary. Female is the proportion of female children of official secondary school age who are attending secondary school.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.23.M","Education Equality","DHS: Net attendance rate. Secondary. Male","Net attendance rate. Secondary. Male is the proportion of male children of official secondary school age who are attending secondary school.","Net attendance rate. Secondary. Male is the proportion of male children of official secondary school age who are attending secondary school.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.23.Q1","Education Equality","DHS: Net attendance rate. Secondary. Quintile 1","Net attendance rate. Secondary. Quintile 1 is the proportion of quintile 1 children of official secondary school age who are attending secondary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net attendance rate. Secondary. Quintile 1 is the proportion of quintile 1 children of official secondary school age who are attending secondary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.23.Q2","Education Equality","DHS: Net attendance rate. Secondary. Quintile 2","Net attendance rate. Secondary. Quintile 2 is the proportion of quintile 2 children of official secondary school age who are attending secondary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net attendance rate. Secondary. Quintile 2 is the proportion of quintile 2 children of official secondary school age who are attending secondary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.23.Q3","Education Equality","DHS: Net attendance rate. Secondary. Quintile 3","Net attendance rate. Secondary. Quintile 3 is the proportion of quintile 3 children of official secondary school age who are attending secondary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net attendance rate. Secondary. Quintile 3 is the proportion of quintile 3 children of official secondary school age who are attending secondary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.23.Q4","Education Equality","DHS: Net attendance rate. Secondary. Quintile 4","Net attendance rate. Secondary. Quintile 4 is the proportion of quintile 4 children of official secondary school age who are attending secondary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net attendance rate. Secondary. Quintile 4 is the proportion of quintile 4 children of official secondary school age who are attending secondary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.23.Q5","Education Equality","DHS: Net attendance rate. Secondary. Quintile 5","Net attendance rate. Secondary. Quintile 5 is the proportion of quintile 5 children of official secondary school age who are attending secondary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net attendance rate. Secondary. Quintile 5 is the proportion of quintile 5 children of official secondary school age who are attending secondary school. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.23.R","Education Equality","DHS: Net attendance rate. Secondary. Rural","Net attendance rate. Secondary. Rural is the proportion of rural children of official secondary school age who are attending secondary school.","Net attendance rate. Secondary. Rural is the proportion of rural children of official secondary school age who are attending secondary school.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NAR.23.U","Education Equality","DHS: Net attendance rate. Secondary. Urban","Net attendance rate. Secondary. Urban is the proportion of urban children of official secondary school age who are attending secondary school.","Net attendance rate. Secondary. Urban is the proportion of urban children of official secondary school age who are attending secondary school.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NIR.1","Education Equality","DHS: Net intake rate for the first grade of primary education","Net intake rate for the first grade of primary education is the number of new pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the children of official entrance age to primary education.","Net intake rate for the first grade of primary education is the number of new pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the children of official entrance age to primary education.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NIR.1.F","Education Equality","DHS: Net intake rate for the first grade of primary education. Female","Net intake rate for the first grade of primary education. Female is the number of new female pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the females of official entrance age to primary education.","Net intake rate for the first grade of primary education. Female is the number of new female pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the females of official entrance age to primary education.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NIR.1.M","Education Equality","DHS: Net intake rate for the first grade of primary education. Male","Net intake rate for the first grade of primary education. Male is the number of new male pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the males of official entrance age to primary education.","Net intake rate for the first grade of primary education. Male is the number of new male pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the males of official entrance age to primary education.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NIR.1.Q1","Education Equality","DHS: Net intake rate for the first grade of primary education. Quintile 1","Net intake rate for the first grade of primary education. Quintile 1 is the number of new quintile 1 pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the quintile 1 population of official entrance age to primary education. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net intake rate for the first grade of primary education. Quintile 1 is the number of new quintile 1 pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the quintile 1 population of official entrance age to primary education. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NIR.1.Q2","Education Equality","DHS: Net intake rate for the first grade of primary education. Quintile 2","Net intake rate for the first grade of primary education. Quintile 2 is the number of new quintile 2 pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the quintile 2 population of official entrance age to primary education. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net intake rate for the first grade of primary education. Quintile 2 is the number of new quintile 2 pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the quintile 2 population of official entrance age to primary education. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NIR.1.Q3","Education Equality","DHS: Net intake rate for the first grade of primary education. Quintile 3","Net intake rate for the first grade of primary education. Quintile 3 is the number of new quintile 3 pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the quintile 3 population of official entrance age to primary education. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net intake rate for the first grade of primary education. Quintile 3 is the number of new quintile 3 pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the quintile 3 population of official entrance age to primary education. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NIR.1.Q4","Education Equality","DHS: Net intake rate for the first grade of primary education. Quintile 4","Net intake rate for the first grade of primary education. Quintile 4 is the number of new quintile 4 pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the quintile 4 population of official entrance age to primary education. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net intake rate for the first grade of primary education. Quintile 4 is the number of new quintile 4 pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the quintile 4 population of official entrance age to primary education. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NIR.1.Q5","Education Equality","DHS: Net intake rate for the first grade of primary education. Quintile 5","Net intake rate for the first grade of primary education. Quintile 5 is the number of new quintile 5 pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the quintile 5 population of official entrance age to primary education. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","Net intake rate for the first grade of primary education. Quintile 5 is the number of new quintile 5 pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the quintile 5 population of official entrance age to primary education. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NIR.1.R","Education Equality","DHS: Net intake rate for the first grade of primary education. Rural","Net intake rate for the first grade of primary education. Rural is the number of new rural pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the rural population of official entrance age to primary education.","Net intake rate for the first grade of primary education. Rural is the number of new rural pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the rural population of official entrance age to primary education.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.NIR.1.U","Education Equality","DHS: Net intake rate for the first grade of primary education. Urban","Net intake rate for the first grade of primary education. Urban is the number of new urban pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the urban population of official entrance age to primary education.","Net intake rate for the first grade of primary education. Urban is the number of new urban pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a percentage of the urban population of official entrance age to primary education.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.OOS.1","Education Equality","DHS: Proportion of out-of-school. Primary","Proportion of out-of-school. Primary is the number of children in the official primary school age range who are not attending primary or secondary education, expressed as a percentage of children of the official primary school age range. By definition, children in the official primary-age range, who are attending pre-primary education, are considered out-of-school. The sum of the net primary attendance rate and the proportion out of school do not add to 100 percent because the net primary attendance rate does not count students who are in secondary.","Proportion of out-of-school. Primary is the number of children in the official primary school age range who are not attending primary or secondary education, expressed as a percentage of children of the official primary school age range. By definition, children in the official primary-age range, who are attending pre-primary education, are considered out-of-school. The sum of the net primary attendance rate and the proportion out of school do not add to 100 percent because the net primary attendance rate does not count students who are in secondary.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.OOS.1.F","Education Equality","DHS: Proportion of out-of-school. Primary. Female","Proportion of out-of-school. Primary. Female is the number of female children in the official primary school age range who are not attending primary or secondary education, expressed as a percentage of female children of the official primary school age range. By definition, children in the official primary-age range, who are attending pre-primary education, are considered out-of-school. The sum of the net primary attendance rate and the proportion out of school do not add to 100 percent because the net primary attendance rate does not count students who are in secondary.","Proportion of out-of-school. Primary. Female is the number of female children in the official primary school age range who are not attending primary or secondary education, expressed as a percentage of female children of the official primary school age range. By definition, children in the official primary-age range, who are attending pre-primary education, are considered out-of-school. The sum of the net primary attendance rate and the proportion out of school do not add to 100 percent because the net primary attendance rate does not count students who are in secondary.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
"HH.DHS.OOS.1.M","Education Equality","DHS: Proportion of out-of-school. Primary. Male","Proportion of out-of-school. Primary. Male is the number of male children in the official primary school age range who are not attending primary or secondary education, expressed as a percentage of male children of the official primary school age range. By definition, children in the official primary-age range, who are attending pre-primary education, are considered out-of-school. The sum of the net primary attendance rate and the proportion out of school do not add to 100 percent because the net primary attendance rate does not count students who are in secondary.","Proportion of out-of-school. Primary. Male is the number of male children in the official primary school age range who are not attending primary or secondary education, expressed as a percentage of male children of the official primary school age range. By definition, children in the official primary-age range, who are attending pre-primary education, are considered out-of-school. The sum of the net primary attendance rate and the proportion out of school do not add to 100 percent because the net primary attendance rate does not count students who are in secondary.","","","","","","","","","Demographic and Health Surveys (DHS)","","","","","","",
